************************************************************************************************************************************************************************************************************************************************************************************************************
basic info
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
engine_in_process    20
engine_to_start      30
steps                502
resources            20
************************************************************************************************************************************************************************************************************************************************************************************************************
resource availability
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
R0   	R1   	R2   	R3   	R4   	R5   	R6   	R7   	R8   	R9   	R10  	R11  	R12  	R13  	R14  	R15  	R16  	R17  	R18  	R19  	
6    	3    	3    	2    	2    	6    	3    	3    	2    	2    	1    	1    	1    	1    	1    	1    	1    	1    	1    	1    	
************************************************************************************************************************************************************************************************************************************************************************************************************
algorithm compare
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
datafile  	time_cost                                                                                           	|ontime_proportion                                                                                   	|max_delay                                                                                           	|avg_delay                                                                                           	|avg_flowtime                                                                                        	|object_function_value                                                                               	|
          	RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|
2_11      	1093ms            	1779ms            	308686ms          	313577ms          	290895ms            	|0.800000          	0.820000          	0.940000          	0.920000          	0.940000            	|11                	6                 	6                 	7                 	7                   	|1.160000          	0.780000          	0.260000          	0.440000          	0.260000            	|22.980000         	22.220000         	20.820000         	21.660000         	21.780000           	|1766.000000       	1540.666667       	294.000000        	522.000000        	326.000000          	|
2_12      	1146ms            	1717ms            	321271ms          	345650ms          	278029ms            	|0.820000          	0.720000          	0.920000          	0.900000          	0.900000            	|8                 	8                 	4                 	6                 	6                   	|1.020000          	1.040000          	0.220000          	0.340000          	0.440000            	|24.580000         	24.180000         	22.940000         	22.920000         	23.020000           	|1619.333333       	2606.000000       	564.666667        	764.000000        	767.333333          	|
2_13      	1104ms            	1624ms            	315498ms          	331775ms          	294095ms            	|0.840000          	0.880000          	0.940000          	0.900000          	0.920000            	|13                	10                	6                 	10                	13                  	|1.180000          	0.620000          	0.260000          	0.760000          	0.580000            	|23.820000         	24.840000         	23.060000         	22.960000         	22.540000           	|1394.000000       	1028.000000       	368.666667        	765.333333        	551.333333          	|
2_14      	1172ms            	1723ms            	349621ms          	367935ms          	301788ms            	|0.800000          	0.820000          	0.920000          	0.900000          	0.940000            	|10                	6                 	5                 	5                 	4                   	|1.060000          	0.580000          	0.360000          	0.320000          	0.160000            	|23.620000         	24.580000         	22.500000         	22.340000         	21.560000           	|1787.333333       	1619.333333       	550.000000        	744.666667        	318.666667          	|
2_15      	1094ms            	1456ms            	316180ms          	343296ms          	279171ms            	|0.800000          	0.860000          	0.940000          	0.940000          	0.960000            	|7                 	8                 	6                 	6                 	4                   	|0.840000          	0.540000          	0.260000          	0.300000          	0.100000            	|23.460000         	24.380000         	22.940000         	22.880000         	23.800000           	|1782.000000       	1212.666667       	364.666667        	362.666667        	193.333333          	|
2_16      	1240ms            	1270ms            	359219ms          	364381ms          	316662ms            	|0.780000          	0.740000          	0.900000          	0.880000          	0.880000            	|8                 	7                 	7                 	9                 	7                   	|0.880000          	1.120000          	0.520000          	0.720000          	0.540000            	|22.560000         	23.400000         	22.500000         	21.800000         	21.960000           	|1952.000000       	2380.000000       	750.000000        	926.666667        	932.000000          	|
2_17      	1357ms            	1168ms            	333287ms          	358495ms          	295130ms            	|0.720000          	0.720000          	0.820000          	0.840000          	0.820000            	|13                	11                	11                	11                	11                  	|2.020000          	1.920000          	1.280000          	1.300000          	1.200000            	|24.740000         	25.320000         	23.600000         	23.460000         	23.320000           	|2624.666667       	2644.000000       	1586.666667       	1382.000000       	1577.333333         	|
2_18      	1787ms            	1195ms            	329699ms          	351653ms          	295396ms            	|0.680000          	0.800000          	0.900000          	0.920000          	0.880000            	|11                	10                	10                	11                	9                   	|2.120000          	1.200000          	0.420000          	0.500000          	0.680000            	|25.320000         	24.320000         	23.020000         	23.200000         	23.260000           	|3044.000000       	1810.666667       	767.333333        	573.333333        	975.333333          	|
2_19      	1912ms            	1155ms            	316284ms          	325104ms          	293832ms            	|0.760000          	0.780000          	0.940000          	0.920000          	0.940000            	|6                 	9                 	5                 	8                 	7                   	|0.880000          	1.160000          	0.180000          	0.420000          	0.260000            	|24.100000         	24.280000         	22.320000         	23.080000         	23.180000           	|2203.333333       	2009.333333       	344.000000        	569.333333        	372.666667          	|
3_0       	2108ms            	969ms             	333018ms          	361063ms          	284360ms            	|0.800000          	0.920000          	0.960000          	0.960000          	0.980000            	|4                 	5                 	2                 	5                 	4                   	|0.460000          	0.240000          	0.080000          	0.120000          	0.080000            	|22.920000         	22.280000         	21.440000         	21.280000         	21.740000           	|1764.000000       	542.666667        	114.666667        	109.333333        	-75.333333          	|
